id	de	level	ko	model
s50edbdcd82	Maria muss auch am Wochenende arbeiten.	a1	마리아는 주말에도 일해야 해요.	claude-opus-5[1m]
s46b14df98c	Die Kinder spielen auf der Straße.	a1	아이들이 길에서 놀아요.	claude-opus-5[1m]
s50a3fda8ba	Auf Wiedersehen.	a1	안녕히 가세요.	claude-opus-5[1m]
s0f4a310fce	Das Wörterbuch liegt auf dem Tisch.	a1	사전이 책상 위에 있어요.	claude-opus-5[1m]
s43fd495e5b	Am Samstag gehen wir auf eine Party.	a1	토요일에 우리는 파티에 가요.	claude-opus-5[1m]
s342ca3e5c3	Meine Eltern wohnen auf dem Land.	a1	부모님은 시골에 사세요.	claude-opus-5[1m]
s43710630a9	Auf dem Foto ist auch meine Schwester.	a1	사진에 제 여동생도 있어요.	claude-opus-5[1m]
s37146620a8	Die Tür ist auf, kommen Sie rein!	a1	문이 열려 있어요, 들어오세요!	claude-opus-5[1m]
sdddda82ec4	Hat das Geschäft noch auf?	a1	가게가 아직 열려 있나요?	claude-opus-5[1m]
se6ded63c0d	Wie heißt das auf Deutsch?	a1	이것은 독일어로 뭐라고 해요?	claude-opus-5[1m]
s025447b8ec	Du brauchst den Schlüssel nicht. Die Wohnung ist auf.	a1	열쇠는 필요 없어. 집은 열려 있어.	claude-opus-5[1m]
sa4356cbe08	Das Fenster ist noch auf.	a1	창문이 아직 열려 있어요.	claude-opus-5[1m]
s1a09c472ca	Ich muss immer um vier Uhr aufstehen.	a1	저는 항상 4시에 일어나야 해요.	claude-opus-5[1m]
sc5258c79bb	Soll ich aufstehen?	a1	제가 일어날까요?	claude-opus-5[1m]
s89c788d0bc	Ich stehe jeden Morgen um sieben Uhr auf.	a1	저는 매일 아침 7시에 일어나요.	claude-opus-5[1m]
s8104b0fde1	steht auf	a1	일어나요	claude-opus-5[1m]
s70a68804c3	ist aufgestanden	a1	일어났어요	claude-opus-5[1m]
s5fe3ab4582	Ich stehe jeden Morgen um sechs Uhr auf.	a1	저는 매일 아침 6시에 일어나요.	claude-opus-5[1m]
see822bd2b6	Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.	a1	일어나실 필요 없어요. 앉아 계셔도 돼요.	claude-opus-5[1m]
s8f9204a755	In diesem Haus gibt es keinen Aufzug.	a1	이 건물에는 엘리베이터가 없어요.	claude-opus-5[1m]
s55ff7ea634	Der Aufzug ist leider kaputt.	a1	유감스럽게도 엘리베이터가 고장 났어요.	claude-opus-5[1m]
sf895f09685	Im Büro ist leider der Aufzug kaputt.	a1	유감스럽게도 사무실 엘리베이터가 고장 났어요.	claude-opus-5[1m]
s1562b71452	Er hat blaue Augen.	a1	그는 파란 눈을 가지고 있어요.	claude-opus-5[1m]
s7f1d51b7b4	Mein rechtes Auge tut seit Sonntag weh.	a1	일요일부터 오른쪽 눈이 아파요.	claude-opus-5[1m]
s5b307138f4	Meine beiden Kinder haben blaue Augen.	a1	제 두 아이는 파란 눈이에요.	claude-opus-5[1m]
s333cf75f88	Er kommt aus Brasilien.	a1	그는 브라질에서 왔어요.	claude-opus-5[1m]
s62797a4be0	Michele kommt aus Brasilien.	a1	미셸은 브라질에서 왔어요.	claude-opus-5[1m]
s3cc4351d67	Frau Müller geht immer um acht Uhr aus dem Haus.	a1	뮐러 부인은 항상 8시에 집에서 나가요.	claude-opus-5[1m]
s05ec524467	Der Tisch ist aus Glas.	a1	그 탁자는 유리로 되어 있어요.	claude-opus-5[1m]
sd152ea212f	Ich sehe nichts. Das Licht ist aus.	a1	아무것도 안 보여요. 불이 꺼져 있어요.	claude-opus-5[1m]
sf3bd4b3726	Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.	a1	뮐러 부인은 매일 아침 8시에 집에서 나가요.	claude-opus-5[1m]
s3f6bcb5794	Frau Özgen kommt aus der Türkei.	a1	외즈겐 부인은 터키에서 왔어요.	claude-opus-5[1m]
sb57e221548	Die Möbel sind noch aus der Zeit um 1900.	a1	그 가구는 아직 1900년경 시대의 것이에요.	claude-opus-5[1m]
scd686f37b8	Ich trage nur Pullover aus reiner Wolle.	a1	저는 순모로 된 스웨터만 입어요.	claude-opus-5[1m]
s10c3e06140	Wir haben aus Liebe geheiratet.	a1	우리는 사랑해서 결혼했어요.	claude-opus-5[1m]
s54c2defc48	Wann ist der Kurs aus?	a1	수업은 언제 끝나요?	claude-opus-5[1m]
sc6176cffa8	Ich seh‘ nichts! Das Licht ist aus!	a1	아무것도 안 보여요! 불이 꺼져 있어요!	claude-opus-5[1m]
s50714fd0d9	Morgen machen wir einen Ausflug nach Heidelberg.	a1	내일 우리는 하이델베르크로 소풍을 가요.	claude-opus-5[1m]
s87f926d325	Morgen machen wir einen Ausflug nach Heidelberg/an die Ostsee.	a1	내일 우리는 하이델베르크로, 발트해로 소풍을 가요.	claude-opus-5[1m]
s196c5e5748	Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.	a1	주말에 우리는 친구들과 하이델베르크로 소풍을 가요.	claude-opus-5[1m]
sb0066b2673	Füllen Sie bitte dieses Formular aus.	a1	이 양식을 작성해 주세요.	claude-opus-5[1m]
sf92455f49d	Füllen Sie/Füll bitte dieses Formular aus!	a1	이 양식을 작성해 주세요!	claude-opus-5[1m]
sbe191277d6	füllt aus	a1	작성해요	claude-opus-5[1m]
s24df9a146c	hat ausgefüllt	a1	작성했어요	claude-opus-5[1m]
sd7a87c0775	Füllen Sie bitte dieses Formular aus!	a1	이 양식을 작성해 주세요!	claude-opus-5[1m]
s1389a8521a	Wo ist der Ausgang?	a1	출구가 어디예요?	claude-opus-5[1m]
sf69f8b71a7	Entschuldigung, wo ist der Ausgang?	a1	실례합니다, 출구가 어디예요?	claude-opus-5[1m]
s29cb059478	Wo ist der Ausgang bitte?	a1	출구가 어디인가요?	claude-opus-5[1m]
s36bb6a0675	Können Sie mir eine Auskunft geben?	a1	정보를 좀 알려주실 수 있나요?	claude-opus-5[1m]
sad6f3da492	Wo ist die Auskunft?	a1	안내소가 어디예요?	claude-opus-5[1m]
s6e871c781b	Können Sie mir bitte eine Auskunft geben?	a1	정보를 좀 알려주실 수 있을까요?	claude-opus-5[1m]
