id	de	level	ko	note	model
ab	ab	a1	~부터	3격 지배, 시작점	claude-fable-5-1
aber	aber	a1	그러나, 하지만	문장 중간에도 옴	claude-fable-5-1
abfahren	abfahren	a1	출발하다, 떠나다	분리동사, sein 완료	claude-fable-5-1
abfahrt	die Abfahrt	a1	출발		claude-fable-5-1
abgeben	abgeben	a1	제출하다, 맡기다	분리동사, 강변화	claude-fable-5-1
abholen	abholen	a1	데리러 가다, 찾아오다	분리동사	claude-fable-5-1
absender	der Absender	a1	발신인, 보낸 사람		claude-fable-5-1
achtung	Achtung	a1	주의, 조심	감탄사처럼 씀	claude-fable-5-1
adresse	die Adresse	a1	주소		claude-fable-5-1
all	all-	a1	모든, 모두, 전부	alles 모든 것, alle 모두	claude-fable-5-1
allein	allein	a1	혼자, 홀로	주로 부사로 씀	claude-fable-5-1
also	also	a1	그러니까, 그럼, 자	영어 also 뜻 아님	claude-fable-5-1
alt	alt	a1	나이가 ~인, 늙은, 오래된	Wie alt: 몇 살	claude-fable-5-1
alter	das Alter	a1	나이, 연령		claude-fable-5-1
an	an	a1	~에, ~옆에, ~에 붙어	3/4격, 요일·날짜는 am	claude-fable-5-1
anbieten	anbieten	a1	권하다, 제공하다	분리동사, 강변화	claude-fable-5-1
angebot	das Angebot	a1	특가, 할인, 제안	im Angebot: 할인 중	claude-fable-5-1
ander	ander-	a1	다른, 또 하나의	형용사 어미 변화	claude-fable-5-1
anfangen	anfangen	a1	시작하다, 시작되다	분리동사, 강변화	claude-fable-5-1
anfang	der Anfang	a1	시작, 처음, 초	Anfang Juli: 7월 초	claude-fable-5-1
anklicken	anklicken	a1	클릭하다	분리동사	claude-fable-5-1
ankommen	ankommen	a1	도착하다	분리동사, sein 완료	claude-fable-5-1
ankunft	die Ankunft	a1	도착		claude-fable-5-1
ankreuzen	ankreuzen	a1	체크 표시하다, X표 하다	분리동사	claude-fable-5-1
anmachen	anmachen	a1	켜다	분리동사, 구어	claude-fable-5-1
anmelden	(sich) anmelden	a1	등록하다, 신청하다	재귀동사, 분리동사	claude-fable-5-1
anmeldung	die Anmeldung	a1	등록, 신청, 접수처		claude-fable-5-1
anrede	die Anrede	a1	호칭, 편지 첫인사		claude-fable-5-1
