# 문맥 주석이 없거나 사람이 먼저 확인할 예문. 고친 값은 gloss_overrides.jsonl에 같은 id로 적는다.
id	level	de	ko	reasons
s397d2df512	a1	Mein Bruder besucht uns ab und zu.	형이 가끔 우리를 찾아와요.	multiword
s445ef1c72e	a1	Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.	커피 한잔 사도 될까? – 물론이지, 아주 좋아.	multiword
s94113d3aeb	a1	Wir haben noch zwanzig Minuten bis zur Abfahrt.	출발까지 아직 20분 남았어요.	multiword
s0e9efbb8a0	a1	gibt ab	제출해요	multiword
s8bd991b030	a1	hat abgegeben	제출했어요	multiword
sfa848ebd70	a1	holt ab	데리러 가요	multiword
se30ba300d0	a1	hat abgeholt	데리러 갔어요	multiword
s09e0c7ea9e	a1	Achtung! Pass auf! Der Verkehr ist hier gefährlich.	주의! 조심해! 여기 교통이 위험해.	multiword
s9e12b6436f	a1	Alles Gute!	잘 지내세요!	multiword
s276f77008c	a1	Ich wünsche dir alles Gute!	모든 게 잘되길 바랄게.	multiword
sef854aba73	a1	Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein.	도와드릴까요? – 고맙지만 혼자 할 수 있어요.	multiword
s4cf996976d	a1	Er hat Zeit, also kann er uns helfen.	그는 시간이 있어요, 그러니까 우리를 도와줄 수 있어요.	no_gloss
s0cdeb28aa9	a1	Irina hat Urlaub. Sie kann uns also helfen.	이리나는 휴가예요. 그러니까 우리를 도와줄 수 있어요.	no_gloss
sfec0b08737	a1	Also wirklich, jetzt reicht es.	정말이지, 이제 그만하면 됐어요.	no_gloss
s04517b600c	a1	Wie alt sind Sie?	연세가 어떻게 되세요?	no_gloss
s10675f0a83	a1	Sie sehen aber nicht so alt aus.	그런데 그렇게 나이 들어 보이지는 않으세요.	no_gloss
se6ef0cf092	a1	Mein Auto ist schon sehr alt.	제 차는 벌써 아주 오래됐어요.	no_gloss
sfbdba3d99d	a1	Wir wohnen in einem sehr alten Haus.	우리는 아주 오래된 집에 살아요.	no_gloss
s8ba3b6a5ac	a1	Köln ist eine alte Stadt.	쾰른은 오래된 도시예요.	no_gloss
s80aa589f32	a1	Mein Computer ist schon sehr alt.	제 컴퓨터는 벌써 아주 오래됐어요.	no_gloss
sfaa099aa70	a1	Wir wohnen in einem ganz alten Haus.	우리는 아주 오래된 집에 살아요.	no_gloss
s9b766dcf8f	a1	Alter: 26 Jahre.	나이: 26세.	no_gloss
s0904765441	a1	Alter: 18 Jahre.	나이: 18세.	no_gloss
s2b765e6312	a1	Maria ist eine alte Freundin von mir.	마리아는 제 오랜 친구예요.	no_gloss
s3906f124df	a1	Wir sind etwa im gleichen Alter.	우리는 나이가 거의 비슷해요.	no_gloss
s42c00d012b	a1	Alter: 26 Jahre	나이: 26세	no_gloss
sb9d077dcc1	a1	Fahren Sie an der nächsten Straße nach rechts.	다음 길에서 오른쪽으로 가세요.	no_gloss
